Blog	here	want	feature	how	series	re	service	project	tech	best	much	life	things	had	has	right	old	people	support	full	time	team	love	working	data	so	years	didn	internet	million	one	open	future	say	take	ways	going	where	up	many	photos	being	around	world	her	ago	am	an	as	tv	th	case	small	past	social	company	its	always	found	really	number	self	also	play	sometimes	set	see	read	using	couple	d	be	by	into	us	try	video	let	great	makes	next	high	doing	could	system	should	means	email	ve	off	web	become	does	problem	worth	work	after	then	them	they	created	another	what	do	away	we	com	night	post	months	way	was	together	change	live	can	still	not	now	year	space	shows	than	online	america	only	between	comes	these	media	real	business	your	start	lot	since	month	very	site	help	actually	american	latest	pretty	during	won	both	else	look	while	used	game	some	run	doesn	youtube	go	facebook	started	links	including	times	need	based	probably	course	i	well	twitter	home	he	stories	friends	companies	even	new	ever	never	call	tell	give	president	before	better	went	side	content	isn	seen	seem	don	m	said	against	three	if	make	left	just	down	me	did	making	may	man	maybe	talk	nbsp	interesting	thing	think	first	long	little	were	show	enough	get	morning	reading	according	those	different	same	money	again	important	u	public	two	through	good	everyone	house	hard	idea	least	part	most	find	please	point	simple	create	big	bit	google	often	back	from	ll	day	february	taking	thought	like	about	but	under	every	would	phone	my	keep	end	over	writing	each	got	free	days	already	top	too	took	though	watch	however	news	been	several	donald	ice	everything	why	no	when	says	today	trump	name	she	place	white	any	ideas	sure	come	week	without	seems	blog	or	there	all	list	design	might	feel	story	nothing	his	him	art	question	called	users	once	apple	app	use	few	women	something	instead	our	out	their	which	who	last	will	other	smart	know	because	getting	own	made	book
The Full Feed from HuffingtonPost.com	0	0	0	0	0	2	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	2	1	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	5	0	2	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	10	0	0	5	0	1	1	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	1	0	2	0	0	0	0	2	0	0	2	0	0	4	1	0	1	0	2	2	0	0	6	0	0	0	3	0	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	2	0	2	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	6	2	1	0	0	0	0	0	2	0	1	0	0	0	0	0	2	2	1	1	3	1	3	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	6	0	0	7	0	0	1	0	0	0	1	0	1	0	1	0	2	0	0	0	2	0	3	0	0	0	0	3	0	1	0	0	0	0	0	0	0	3	3	0	0	0	1	0	3	2	4	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	1	0	1	0	0	0	4	0
WIL WHEATON dot NET	17	21	0	15	1	11	1	0	0	9	15	7	9	7	18	16	4	45	0	0	14	1	12	2	3	59	12	14	1	0	13	3	5	12	9	1	10	2	33	5	0	7	9	7	4	5	33	22	38	1	1	2	1	3	1	0	8	6	1	17	0	0	5	7	0	7	17	3	1	0	26	33	14	24	6	3	0	4	4	4	6	1	7	11	0	2	4	0	19	4	0	3	8	0	1	2	12	14	13	27	0	6	32	29	7	32	0	1	4	2	25	59	4	3	4	37	6	44	18	8	6	1	7	3	5	9	0	1	6	1	5	1	18	5	11	6	0	6	0	5	5	0	2	2	0	3	1	4	5	9	3	9	16	3	4	2	17	1	2	0	3	3	12	2	3	3	392	5	2	2	55	0	6	0	12	6	6	7	2	14	9	0	12	5	5	2	1	10	3	0	16	38	10	0	6	27	10	4	35	11	100	9	4	4	1	10	5	2	1	12	11	13	7	20	18	4	6	15	2	2	0	9	4	3	2	9	3	0	2	7	8	7	5	1	3	3	3	1	4	4	0	7	2	5	4	6	0	0	18	18	10	10	0	1	2	42	46	66	2	9	17	1	74	4	3	10	4	1	7	3	4	3	0	6	4	7	0	0	10	26	3	0	0	8	4	10	21	7	7	0	0	9	7	2	10	0	1	9	1	5	0	7	36	22	26	0	1	0	15	2	7	19	34	0	1	0	1	6	0	0	2	9	0	12	6	9	23	20	11	53	7	22	3	2	21	30	0	6	12	2
Latest from Crooks and Liars	1	1	0	1	0	1	0	0	0	0	0	2	3	3	5	1	0	2	2	0	5	0	0	0	0	3	1	1	0	0	7	2	0	0	0	0	1	1	2	2	0	1	0	0	6	1	0	5	3	0	1	0	0	0	2	0	0	1	0	2	0	0	1	0	0	0	0	7	0	0	0	3	4	1	3	0	1	0	0	0	0	0	0	1	0	1	1	0	2	4	0	0	0	2	0	1	5	0	2	3	1	1	6	2	2	5	2	0	0	1	1	6	0	1	0	1	1	8	3	1	0	0	0	0	0	0	0	2	2	2	1	1	2	0	0	0	0	3	4	0	1	4	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	2	0	0	2	0	0	0	0	0	7	0	1	0	25	2	0	0	0	2	1	1	2	0	0	6	1	0	0	3	0	4	1	0	1	3	8	1	0	5	1	0	6	2	1	3	0	1	0	0	2	0	0	0	2	2	0	0	1	2	0	0	1	1	0	1	0	2	2	1	1	0	0	2	0	1	0	8	0	0	1	2	1	0	1	0	0	0	2	1	0	0	1	8	1	3	0	0	0	4	9	6	1	1	5	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	13	5	0	5	1	0	1	2	5	1	1	21	0	7	0	7	1	0	0	0	5	0	0	0	5	0	3	2	0	1	0	4	2	19	2	0	0	2	0	1	0	0	0	2	8	1	0	2	6	4	2	6	1	1	2	0	2	4	0	1	0	0
Creating Passionate Users	1	1	2	3	0	1	0	0	0	0	1	0	1	0	2	0	0	1	0	0	3	0	1	0	0	2	0	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	3	0	1	0	2	0	0	1	0	0	0	0	0	0	3	2	0	2	0	0	4	0	0	2	1	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	11	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	2	1	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	3	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	2	4	0	2	1	2	1	1	0	0	0	0	0	5	0	0	5	0	1	0	1	0	1	1	0	1	2	1	2	1	0	0	0	0	1	0	0
Kotaku	2	0	0	1	0	0	2	0	0	8	1	1	1	1	7	0	0	2	0	1	5	3	0	0	0	2	0	0	1	0	7	0	0	0	0	0	0	1	2	0	0	0	1	3	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	23	0	1	3	3	5	2	0	0	3	1	1	1	0	0	1	0	0	1	0	0	3	0	1	1	0	1	2	1	2	1	3	1	0	0	2	2	0	4	0	0	0	0	1	3	0	0	0	5	2	3	4	1	1	0	2	1	0	0	1	0	2	0	2	0	6	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0	3	1	0	7	3	0	0	2	1	0	0	0	0	1	1	0	1	0	7	1	2	2	2	0	0	0	1	4	0	0	1	0	3	0	1	0	0	0	0	1	2	0	1	0	0	0	0	2	1	0	2	2	2	0	1	1	0	1	0	0	0	0	1	0	2	0	3	0	0	3	0	0	0	0	0	1	2	0	0	0	1	1	0	0	1	1	1	1	1	0	3	0	0	0	0	0	1	1	0	1	0	2	0	5	2	0	0	3	5	2	3	1	2	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	2	1	0	2	1	4	2	2	1	3	0	0	1	0	1	1	0	0	3	1	2	0	0	5	1	2	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	1	0	1	0	2	2	4	3	1	2	1	4	0	0	0	2	0	0	1	0
The Write News	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	1	4	0	0	0	1	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	15	0	0	0	2	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	15	1	0	1	0	4	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	14	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	0	0	1	0	0	0	0	0	2	1	0	0	2	4	0	0	0	0	0	0	0	0
Derek Powazek	6	1	0	7	0	7	0	0	1	1	1	5	1	3	5	4	2	2	0	1	4	0	1	0	0	7	5	1	1	0	13	1	0	3	1	1	4	0	11	1	2	0	1	3	9	2	3	5	10	0	0	0	2	0	0	1	1	4	1	2	1	1	2	0	0	0	3	0	1	4	2	7	5	4	4	1	0	1	5	0	1	1	1	1	0	1	0	0	11	1	1	0	0	0	0	3	4	7	2	6	0	3	9	7	1	7	1	2	3	2	0	13	1	1	2	8	4	6	10	4	0	0	2	2	0	1	4	1	2	2	0	1	6	0	1	1	0	1	2	0	0	0	0	0	0	0	2	1	0	1	1	0	3	0	0	1	4	0	2	0	0	1	1	0	1	1	69	2	1	0	5	1	2	0	1	5	1	3	1	0	0	0	1	0	3	0	1	0	1	0	4	12	3	1	4	9	1	1	11	2	15	4	0	0	1	1	3	0	0	4	4	3	1	7	2	3	5	6	2	4	0	1	0	3	3	2	0	0	0	9	1	1	1	0	3	0	0	2	2	1	0	0	1	2	1	0	0	2	2	5	4	2	0	1	1	9	9	14	1	3	0	0	22	0	0	5	2	1	1	0	4	1	2	2	3	0	1	0	1	8	0	0	0	2	1	2	11	0	2	0	0	7	0	1	0	0	1	3	3	0	0	1	5	7	10	0	1	1	5	3	0	3	2	0	0	0	0	2	0	0	0	5	0	8	0	3	9	4	2	1	7	5	3	0	6	3	2	2	2	6
Captain's Quarters	0	0	0	1	1	0	0	0	0	1	0	0	0	3	7	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	1	4	0	0	0	0	1	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	4	2	3	0	0	0	0	0	1	0	0	0	3	2	1	0	0	1	0	1	0	0	0	1	3	0	0	2	0	1	0	0	0	1	0	0	1	2	0	1	0	1	0	1	1	3	0	0	0	1	2	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	3	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	2	3	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	3	0	2	0	0	0	0	3	1	1	0	1	0	2	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	1	2	0	2	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	1	6	1	3	0	0	0	1	0	0	1	1	0	0	0	0	4	6	0	1	0	5	2	0	0	0	0	0	0	0
ThinkProgress	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	6	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	2	0	0	4	0	1	0	0	0	2	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	1	1	2	0	0	3	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	2	1	0	2	0	0	0	0	3	0	0	9	1	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	1	2	3	3	3	0	0	0	0	0	0	2	0
blog maverick	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	1	2	0	1	0	0	0	0	0	1	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	4	2	3	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0	0	1	1	0	0	0	2	3	0	8	3	0	0	0	0	3	0	0	2	1	0	5	1	2	0	0	4	0	1	0	0	1	0	2	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	3	0	1	0	0	0	0	0	0	0	11	0	0	0	1	0	0	1	2	1	0	0	0	0	0	2	0	1	0	0	0	2	0	0	2	1	1	0	0	2	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	0	2	0	2	0	0	1	0	0	0	0	0	0	3	0	2	0	4	0	1	0	1	0	0	0	0	0	1	4	1	0	0	0	0	0	0	0	2	3	0	2	0	0	0	2	2	2	1	1	1	3	4	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	4	2	0	0	0	2	1	3	3	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	4	4	2	0	0	0	2	0	1	0	1	0	1	1	0	0	3	0	1	0	0	0	0	3	2	1	1	1	0	1	1	0	1	0	1	0	0	0
PerezHilton	3	0	0	2	0	2	0	0	0	1	1	1	0	1	0	1	4	1	0	0	0	0	3	0	0	1	1	2	0	1	3	0	0	0	0	2	0	3	2	0	0	1	0	2	9	0	0	1	4	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	2	1	0	0	2	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	1	1	0	4	0	1	0	0	0	6	0	0	1	0	0	2	0	0	0	0	0	4	2	2	0	0	1	0	0	1	0	0	2	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	5	0	0	0	0	5	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	6	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	1	0	0	1	3	0	0	1	0	0	1	0	3	0	0	0	0	1	0	0	0	0	1	2	1	0	1	0	1	0	0	2	0	1	1	1	3	0	5	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	1	2	5	2	3	0	3	0	0	5	0	1	1	0	0
plasticbag.org	1	0	0	1	0	2	0	0	0	0	1	1	1	1	1	1	0	4	1	0	3	0	0	1	0	1	2	1	0	0	2	0	0	0	2	1	5	0	2	2	0	2	0	0	0	1	0	0	5	1	0	0	0	0	0	2	1	0	0	0	2	1	0	0	0	0	0	6	0	1	1	5	1	1	2	1	0	0	1	0	0	0	1	3	0	2	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	1	0	1	0	4	0	0	1	1	1	3	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	1	0	0	6	0	1	0	0	0	0	6	0	0	1	0	0	0	16	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	5	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	2	4	1	0	0	0	0	3	0	1	2	0	0	0	0	1	0	0	1	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	1	2	6	1	3	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	2	1	0	0	1	0	3	1	3	2	0	0	2	0	1	0	1	0
43 Folders	28	26	1	60	0	48	3	3	0	14	37	32	55	26	28	24	10	54	3	7	46	2	15	7	3	75	16	8	3	0	47	4	8	21	10	5	7	20	45	20	0	17	10	13	17	3	14	45	123	4	1	3	2	8	1	2	9	20	1	77	9	9	27	6	15	3	18	43	8	7	45	96	101	21	21	18	14	17	14	5	3	0	16	24	4	16	11	11	40	13	10	12	5	15	5	59	10	25	22	48	0	10	73	74	7	67	17	5	2	4	36	84	3	13	8	85	20	120	41	14	1	0	36	1	1	22	3	5	24	2	19	8	83	11	39	5	2	29	2	30	14	2	0	11	2	10	8	7	5	10	6	2	28	6	18	0	21	1	2	2	8	3	21	2	8	2	469	24	4	6	39	2	5	2	50	28	26	26	3	17	4	0	13	27	2	4	1	0	1	4	46	47	14	4	3	59	45	2	70	9	82	13	11	15	7	14	22	1	2	33	31	29	21	28	16	4	15	50	7	13	0	27	7	9	5	10	13	0	1	10	7	26	8	2	16	6	11	17	41	10	16	21	7	0	25	7	2	19	25	34	37	16	1	1	10	68	105	93	20	12	20	1	188	10	7	29	4	13	2	8	7	13	2	14	2	2	6	1	1	31	2	1	0	12	32	37	30	13	13	0	3	29	7	0	38	3	10	5	11	12	2	5	105	33	58	3	10	16	7	6	7	28	12	3	3	3	5	4	1	8	11	13	0	23	4	35	44	19	45	70	13	53	22	4	40	57	11	13	28	25
Autoblog	2	7	0	3	0	0	1	0	0	3	0	0	0	1	2	3	1	1	0	4	0	0	1	0	1	1	0	0	0	2	6	0	1	0	0	0	6	0	1	0	1	0	2	0	0	0	0	4	1	0	0	1	0	0	0	4	9	0	0	0	0	3	3	0	0	4	39	1	2	0	3	7	6	3	0	0	9	0	0	2	3	0	0	0	1	0	0	39	0	5	0	0	0	0	0	5	6	3	0	0	0	2	6	9	0	1	0	0	0	0	0	3	3	0	0	3	2	3	1	0	4	2	4	1	1	5	0	1	0	0	0	0	4	0	1	0	1	0	0	0	1	4	2	0	0	0	0	1	0	0	1	3	0	1	0	1	1	0	0	0	2	0	3	1	0	0	3	1	0	0	1	0	0	0	6	10	0	0	3	0	0	0	1	4	0	0	0	3	0	0	3	6	1	3	2	1	3	0	2	3	0	0	1	0	3	0	0	156	0	0	1	2	0	4	0	30	1	9	0	39	0	0	0	1	0	0	0	3	0	7	4	1	1	0	0	0	0	0	2	0	39	0	0	0	0	0	1	0	3	9	0	0	0	0	0	7	0	9	39	0	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	3	0	0	0	3	0	0	2	1	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	2	5	0	4	4	0	0	1	0	0	0	0	0	0	0	0	0	40	0	0	0	0	40	2	3	1	0	0	4	1	0	0	1	0	0	9	0
Google Blogoscoped	2	2	2	5	0	5	6	0	1	4	4	0	1	3	1	1	0	3	0	2	4	0	2	2	0	7	1	0	0	0	13	2	1	0	1	0	2	1	3	0	0	0	2	1	0	1	1	5	12	0	0	1	1	2	0	0	1	2	0	0	5	0	2	0	0	1	4	2	4	0	2	4	4	3	1	0	0	2	0	1	1	0	2	1	0	0	0	0	4	0	4	0	0	0	0	1	0	3	4	7	0	2	6	3	0	12	0	0	2	0	1	6	1	1	1	10	0	5	4	0	0	0	1	1	0	2	0	1	1	0	0	0	8	1	0	0	0	1	4	0	2	0	0	0	0	0	2	2	1	1	2	2	3	1	0	0	1	0	0	2	0	1	2	1	2	0	18	2	0	1	2	0	1	0	4	8	0	1	0	0	0	0	0	0	1	1	0	1	0	1	4	2	2	0	0	8	3	1	6	1	4	1	0	1	0	1	0	0	0	1	0	2	1	0	1	1	0	5	0	1	0	3	2	1	0	0	0	0	0	3	1	0	0	0	0	3	0	0	3	3	0	0	1	1	0	0	28	1	3	7	6	3	0	0	0	6	9	10	0	1	11	4	7	0	0	1	0	3	0	2	0	1	1	2	1	3	0	0	1	4	1	0	0	0	0	6	4	1	1	0	2	0	2	0	3	0	0	1	0	0	0	1	7	5	5	1	1	0	1	0	0	1	0	0	4	1	0	1	0	4	3	1	0	2	0	3	2	4	5	5	0	1	4	1	2	5	0	0	2	0
Deadspin	1	1	0	0	0	2	0	0	0	7	2	0	0	1	8	0	2	0	0	1	2	3	0	0	0	1	2	0	0	0	6	0	0	0	0	0	0	0	1	2	0	2	2	3	3	0	1	7	8	0	0	0	0	0	0	0	1	0	0	5	0	0	3	0	0	0	3	24	0	0	2	1	2	2	3	0	1	0	1	1	0	0	0	1	2	1	0	0	0	2	1	2	1	0	0	1	3	0	1	3	1	0	4	2	0	1	1	2	0	3	3	10	0	1	0	1	1	2	0	4	0	0	5	1	0	3	0	0	1	0	0	0	1	0	2	1	0	1	0	1	0	2	0	0	2	1	0	0	1	1	0	1	1	3	1	0	0	1	0	0	1	0	0	0	0	0	6	1	1	1	5	1	0	0	3	5	2	1	1	1	0	0	1	2	1	0	0	1	0	0	0	1	2	0	2	2	2	2	0	5	1	0	0	3	1	1	0	0	0	0	1	2	1	0	5	1	0	2	0	0	3	1	0	1	0	0	0	3	0	2	0	2	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	3	7	1	2	2	1	0	5	5	5	2	1	0	0	1	0	1	1	0	0	0	0	0	1	3	1	0	0	0	0	2	2	0	0	2	0	0	2	2	1	6	0	0	2	1	0	2	0	0	1	0	1	2	0	3	8	8	0	0	0	0	0	0	7	1	0	1	0	0	0	0	0	1	0	7	1	0	4	3	2	3	4	2	1	1	0	0	4	0	2	1	0
The Dish	2	1	0	6	0	2	0	0	0	0	2	1	3	4	8	0	3	5	2	0	6	0	7	0	0	6	11	3	2	1	10	2	0	1	1	0	2	0	7	3	1	0	4	7	1	2	2	9	21	1	0	1	0	3	0	0	0	1	1	0	1	0	0	0	0	0	0	9	0	0	1	11	12	1	3	0	0	0	0	0	1	1	1	1	1	3	0	3	3	0	0	1	0	1	1	3	2	7	0	8	2	2	9	3	0	18	1	0	4	0	0	10	0	0	1	4	2	6	2	3	0	1	4	0	2	3	1	0	5	0	1	0	12	0	0	2	0	1	2	0	0	0	2	0	2	1	0	1	3	0	0	1	1	0	1	0	3	0	1	1	1	1	0	0	2	0	38	1	0	1	3	0	1	0	4	2	0	2	0	0	0	1	1	2	1	0	2	1	0	1	4	1	4	1	1	2	2	0	4	1	11	2	0	1	1	1	2	0	0	1	1	4	6	2	1	0	1	2	2	3	2	2	1	2	1	0	0	3	1	1	4	0	0	2	1	3	2	3	5	2	3	0	2	0	2	0	0	2	3	13	3	9	0	1	2	0	9	10	2	1	1	0	17	1	3	3	2	0	0	0	0	0	0	1	1	1	0	1	2	6	0	0	0	0	3	6	5	0	1	0	0	1	1	0	1	1	0	0	1	2	0	6	3	3	6	0	0	1	0	3	2	11	0	1	2	0	0	0	0	0	1	0	0	0	0	4	3	7	2	5	3	5	2	0	6	1	0	1	2	3
kottke.org	14	6	1	27	2	20	1	1	0	12	11	11	14	12	23	10	7	16	4	1	25	1	5	4	2	19	12	1	3	2	42	1	3	8	7	0	3	6	19	12	5	3	9	14	9	6	6	33	57	8	2	2	1	5	4	0	16	5	3	11	2	1	20	5	3	3	16	5	9	4	9	51	43	23	8	3	37	3	2	3	2	3	3	9	4	7	3	1	15	7	0	8	12	7	2	14	10	11	26	44	0	8	33	17	8	35	0	4	2	2	11	33	8	3	7	42	4	37	9	10	11	2	23	1	1	5	9	1	8	6	1	2	27	4	8	2	1	13	1	1	4	1	1	3	6	1	5	4	9	5	4	12	16	2	6	5	8	0	2	0	2	4	2	2	1	4	104	8	0	2	21	6	3	2	16	19	4	10	3	4	8	4	7	5	0	4	2	3	7	0	16	11	8	2	2	28	9	2	22	5	18	1	2	8	3	3	3	224	2	8	8	15	5	6	11	4	3	11	0	1	3	6	5	11	1	3	1	0	6	12	6	10	5	0	5	3	2	13	12	2	0	4	3	3	6	2	1	7	12	47	6	11	1	3	5	44	49	47	1	11	12	0	38	4	5	9	3	2	1	3	7	2	2	7	3	3	5	2	0	11	3	3	13	4	10	12	23	1	6	3	2	5	3	5	9	3	4	4	2	8	7	1	57	12	26	5	1	10	5	6	3	29	4	7	5	3	0	1	0	1	8	5	0	9	2	11	18	30	17	14	6	17	16	0	9	11	3	0	7	3
O'Reilly Radar	0	0	0	0	0	3	0	1	0	0	0	0	1	1	4	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	2	1	0	0	0	0	0	0	2	0	1	0	0	2	1	0	1	0	0	1	1	0	2	3	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	7	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1	6	0	0	0	0	2	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	1	0	0
